id,title,text,source
wiki_1164,Artificial intelligence,"Artificial intelligence (AI) is the capability of computational systems to perform tasks typically associated with human intelligence, such as learning",Wikipedia
wiki_586357,Artificial general intelligence,Artificial general intelligence (AGI) is a hypothetical type of artificial intelligence that matches or surpasses human capabilities across virtually,Wikipedia
wiki_142224,A.I. Artificial Intelligence,A.I. Artificial Intelligence (or simply A.I.) is a 2001 American science fiction drama film written and directed by Steven Spielberg. The screenplay by,Wikipedia
wiki_2894560,History of artificial intelligence,"history of artificial intelligence (AI) began in antiquity, with myths, stories, and rumors of artificial beings endowed with intelligence by master craftsmen",Wikipedia
wiki_15893057,Applications of artificial intelligence,"Artificial intelligence (AI) is the capability of computational systems to perform tasks that are typically associated with human intelligence, such as",Wikipedia
wiki_68665578,Artificial Intelligence Act,The Artificial Intelligence Act (AI Act) is a European Union regulation concerning artificial intelligence (AI). It establishes a common regulatory and,Wikipedia
wiki_72607666,Hallucination (artificial intelligence),"In the field of artificial intelligence (AI), a hallucination or artificial hallucination (also called bullshitting, confabulation, or delusion) is a",Wikipedia
wiki_78474528,List of artificial intelligence companies,Below is a list of notable companies that primarily focus on artificial intelligence (AI). Companies that simply make use of AI but have a different primary,Wikipedia
wiki_73291755,Generative AI,"Generative artificial intelligence (GenAI) is a subfield of artificial intelligence (AI) that uses generative models to generate text, images, videos,",Wikipedia
wiki_46583121,Existential risk from artificial intelligence,from artificial intelligence refers to the ongoing hypothesis that substantial progress in artificial general intelligence (AGI) and artificial superintelligence,Wikipedia
wiki_50336055,Glossary of artificial intelligence,"This glossary of artificial intelligence is a list of definitions of terms and concepts relevant to the study of artificial intelligence (AI), its subdisciplines",Wikipedia
wiki_13659583,Ethics of artificial intelligence,The ethics of artificial intelligence covers a broad range of topics within AI that are considered to have particular ethical stakes. This includes algorithmic,Wikipedia
wiki_12413470,Timeline of artificial intelligence,"of artificial intelligence, also known as synthetic intelligence. Timeline of machine translation Timeline of machine learning Timeline of artificial intelligence",Wikipedia
wiki_77668073,Artificial intelligence in education,Artificial intelligence in education (often abbreviated as AIEd) is a subfield of educational technology that studies how to use artificial intelligence,Wikipedia
wiki_76522432,Regulation of artificial intelligence in the United States,"government and state governments have developed some regulation of artificial intelligence, including executive orders, federal laws, and state laws. Federal",Wikipedia
wiki_73248112,Large language model,AI-generated digital content Foundation model – Artificial intelligence model paradigm Generative artificial intelligence – AI that generates contentPages displaying,Wikipedia
wiki_1654769,Artificial intelligence in video games,"Artificial intelligence (AI) in video games refers to the computational systems that control non-player characters (NPCs), generate dynamic game behavior",Wikipedia
wiki_52588198,Artificial intelligence in healthcare,Artificial intelligence in healthcare refers to the application of artificial intelligence (AI) to medical and healthcare data in areas including disease,Wikipedia
wiki_2958015,Philosophy of artificial intelligence,philosophy of artificial intelligence is a branch of the philosophy of mind and the philosophy of computer science that explores artificial intelligence and its,Wikipedia
wiki_46721819,List of artificial intelligence films,"films which included artificial intelligence either as a protagonist or as an essential part of the film. Artificial intelligence in fiction Hogan, Michael;",Wikipedia
wiki_21659435,Artificial intelligence in music,"Music software utilizes artificial intelligence to generate, classify, or recommend music. Similar to its applications in other fields, AI in music simulates",Wikipedia
wiki_54575571,Explainable artificial intelligence,"Within artificial intelligence (AI), explainable AI (XAI), generally overlapping with interpretable AI or explainable machine learning (XML), is a field",Wikipedia
wiki_534794,Association for the Advancement of Artificial Intelligence,"Artificial Intelligence (AAAI) is an international scientific society devoted to promote research in, and responsible use of, artificial intelligence",Wikipedia
wiki_35591037,Artificial intelligence in marketing,Artificial intelligence marketing (AI marketing) is a form of marketing that uses artificial intelligence concepts and models such as machine learning,Wikipedia
wiki_16598232,Progress in artificial intelligence,"Progress in artificial intelligence (AI) is the advances, milestones, and breakthroughs that have been achieved in the field of artificial intelligence over",Wikipedia
wiki_60639760,AI art,"Artificial intelligence visual art, or AI art, is visual artwork generated or enhanced through the implementation of artificial intelligence (AI) programs",Wikipedia
wiki_83062878,List of artificial intelligence institutions,"This is a list of artificial intelligence institutions, including independent, nonprofit, public, public-private, and government-backed research organizations",Wikipedia
wiki_65434605,Ablation (artificial intelligence),"In artificial intelligence (AI), particularly machine learning, ablation is the removal of a component of an AI system. An ablation study aims to determine",Wikipedia
wiki_63451675,Regulation of artificial intelligence,Regulation of artificial intelligence is the development of public sector policies and laws for promoting and regulating artificial intelligence (AI). The,Wikipedia
wiki_76023812,Artificial intelligence in architecture,"Artificial intelligence in architecture is the use of artificial intelligence in automation, design, and planning in the architectural process or in assisting",Wikipedia
wiki_9924067,Frame (artificial intelligence),Frames are an artificial intelligence data structure used to divide knowledge into substructures by representing &quot;stereotyped situations&quot;. They were proposed,Wikipedia
wiki_48795986,OpenAI,"OpenAI is an American artificial intelligence (AI) research organization headquartered in San Francisco, consisting of OpenAI Group PBC, a for-profit",Wikipedia
wiki_80688793,Competition in artificial intelligence,"Competition in artificial intelligence refers to the rivalry among companies, research institutions, and governments to develop and deploy the most capable",Wikipedia
wiki_2142,List of artificial intelligence projects,"following is a list of current and past, non-classified notable artificial intelligence projects. Blue Brain Project, an attempt to create a synthetic",Wikipedia
wiki_6585513,Outline of artificial intelligence,as an overview of and topical guide to artificial intelligence: Artificial intelligence (AI) is intelligence exhibited by machines or software. It is,Wikipedia
wiki_80281828,Artificial intelligence in spirituality,"Some users of artificial intelligence (AI) technologies, especially chatbots, may develop beliefs that AI has or can attain supernatural or spiritual",Wikipedia
wiki_81202652,Generative engine optimization,presence to improve visibility in responses generated by generative artificial intelligence (AI) systems. The practice influences the way large language models,Wikipedia
wiki_77798850,International Olympiad in Artificial Intelligence,International Olympiad in Artificial Intelligence (IOAI) is an annual International Science Olympiad in the field of artificial intelligence (AI) for secondary,Wikipedia
wiki_60669244,Artificial intelligence in India,"The artificial intelligence (AI) market in India is projected to reach $8 billion by 2025, growing at 40% CAGR from 2020 to 2025. This growth is part",Wikipedia
wiki_339417,Symbolic artificial intelligence,"In artificial intelligence, symbolic artificial intelligence (also known as classical artificial intelligence or logic-based artificial intelligence) is",Wikipedia
wiki_726659,Superintelligence,about how likely present-day human intelligence is to be surpassed. Some argue that advances in artificial intelligence (AI) will probably result in general,Wikipedia
wiki_73291899,AI boom,An AI boom is a period of rapid growth in the field of artificial intelligence. The most recent boom happened in the 2020s before seeing increased acceleration,Wikipedia
wiki_237629,Distributed artificial intelligence,Distributed Artificial Intelligence (DAI) (also called Decentralized Artificial Intelligence) is a melding of artificial intelligence with distributed,Wikipedia
wiki_11746227,Artificial intelligence in fiction,"Artificial intelligence is a recurrent theme in science fiction, whether utopian, emphasising the potential benefits, or dystopian, emphasising the dangers",Wikipedia
wiki_762988,Swarm intelligence,"Swarm intelligence (SI) is the collective behavior of decentralized, self-organized systems, natural or artificial. The concept is employed in work on",Wikipedia
wiki_57024219,Artificial intelligence industry in China,The roots of the development of artificial intelligence in the People&#039;s Republic of China started in the late 1970s following Deng Xiaoping&#039;s reform and,Wikipedia
wiki_70787130,List of artificial intelligence artists,Many notable artificial intelligence artists have created a wide variety of artificial intelligence art from the 1960s to today. These include: Harold,Wikipedia
wiki_54245,Technological singularity,"the plausibility of a technological singularity and associated artificial intelligence &quot;explosion&quot;, including Paul Allen, Jeff Hawkins, John Holland,",Wikipedia
wiki_83195959,Generative artificial intelligence dependency,Generative artificial intelligence dependency (GAID) is an emerging artificial intelligence disorder where users have a compulsive reliance on AI tools,Wikipedia
wiki_351887,Friendly artificial intelligence,Friendly artificial intelligence (friendly AI or FAI) is hypothetical artificial general intelligence (AGI) that would have a positive (benign) effect,Wikipedia
wiki_22264262,Artificial intelligence (disambiguation),"Look up artificial intelligence in Wiktionary, the free dictionary. Artificial intelligence is the simulation of intelligence as exhibited by software",Wikipedia
wiki_80481906,Lists of open-source artificial intelligence software,"release their software under open-source licenses and are related to artificial intelligence projects. These include software libraries, frameworks, platforms",Wikipedia
wiki_1648132,Weak artificial intelligence,"Weak artificial intelligence (weak AI) is artificial intelligence that implements a limited part of the mind, or, as narrow AI, artificial narrow intelligence",Wikipedia
wiki_79101342,2025 in artificial intelligence,"The following is a list of events of the year 2025 in artificial intelligence. January 20 – DeepSeek releases DeepSeek-R1, an open-source large language",Wikipedia
wiki_70984276,Foundation model,"In artificial intelligence, a foundation model (FM), also known as large x model (LxM, where &quot;x&quot; is a variable representing any text, image, sound, etc",Wikipedia
wiki_82994528,List of artificial intelligence algorithms,"This is a list of artificial intelligence algorithms, including algorithms and algorithmic methods used in artificial intelligence (AI) for search, automated",Wikipedia
wiki_81298343,Artificial intelligence controversies,"artificial intelligence encompass a broad range of public, academic, and political debates regarding the societal effects of artificial intelligence (AI)",Wikipedia
wiki_82783584,World model (artificial intelligence),A world model in artificial intelligence is a machine learning system that builds an internal representation of an environment. Often this is via understanding,Wikipedia
wiki_566680,Artificial Intelligence: A Modern Approach,"Artificial Intelligence: A Modern Approach (AIMA) is a university textbook on artificial intelligence (AI), written by Stuart J. Russell and Peter Norvig",Wikipedia
wiki_233488,Machine learning,Machine learning (ML) is a field of study in artificial intelligence concerned with the development and study of statistical algorithms that can learn,Wikipedia
wiki_9168065,Kyiv Laboratory for Artificial Intelligence,"The Kyiv Laboratory for Artificial Intelligence (NeuroTechnica) is a research institute in Kyiv, the capital of Ukraine. Speech recognition, Speech synthesis",Wikipedia
wiki_62604170,Mohamed bin Zayed University of Artificial Intelligence,"The Mohamed Bin Zayed University of Artificial Intelligence (MBZUAI) is a public university in the Masdar City community of Abu Dhabi, United Arab Emirates",Wikipedia
wiki_69834550,Military applications of artificial intelligence,"Artificial intelligence (AI) has many applications in warfare, including in communications, intelligence, and munitions control. AI is not limited to new",Wikipedia
wiki_78134079,Artificial intelligence engineering,"Artificial intelligence engineering (AI engineering) is a technical discipline that focuses on the design, development, and deployment of AI systems.",Wikipedia
wiki_7755275,Artificial Intelligence II,Artificial Intelligence II is a compilation album released via Warp on 30 May 1994. It is the eighth and final release in Warp&#039;s Artificial Intelligence,Wikipedia
wiki_7286690,Artificial Intelligence (compilation album),Artificial Intelligence is a compilation album released by Warp Records on 6 July 1992. It is the first release in Warp&#039;s Artificial Intelligence series,Wikipedia
wiki_83211385,Magnifica humanitas,"XIV, concerned with &quot;safeguarding the human person in the age of artificial intelligence&quot;. It was published on 25 May 2026. Leo chose to present the encyclical",Wikipedia
